title,directors,year,genre,runtime,theater,screen_date,screen_times,wiki_id,wiki_title,match_method,wiki_language,language_group
Blue Giant,Yuzuru Tachikawa,,Thriller,0 days 02:00:00,Museum of Fine Arts,2024-03-30,7:00 PM,,,unresolved,,Unknown
Perfect Days,Wim Wenders,,Thriller,0 days 02:03:00,Museum of Fine Arts,2024-04-05,7:00 PM,,,unresolved,,Unknown
Ghost Dog: The Way of the Samurai,Jim Jarmusch,1999,Crime,0 days 01:56:00,The Brattle,2024-05-24,"4:00 PM, 9:00 PM",471352,Ghost Dog: The Way of the Samurai,exact_title,English; French,English listed
Stray Dog,Akira Kurosawa,1949,Crime,0 days 02:02:00,The Brattle,2024-05-24,6:30 PM,867905,Stray Dog (film),exact_film,Japanese,No English listed
Big Trouble in Little China,John Carpenter,1986,Comedy,0 days 01:40:00,Coolidge Corner Theatre,2024-05-24,11:59 PM,697113,Big Trouble in Little China,exact_title,English,English listed
Ring,Hideo Nakata,1998,Horror,0 days 01:36:00,Somerville Theatre,2024-05-25,11:59 PM,180785,Ring (film),exact_year,Japanese,No English listed
Black Rain,Ridley Scott,1989,Drama,0 days 02:05:00,Coolidge Corner Theatre,2024-05-25,11:59 PM,,,unresolved,,Unknown
Stop Making Sense,Jonathan Demme,1984,Documentary,0 days 01:28:00,The Brattle,2024-05-25,10:00 PM,,,unresolved,,Unknown
Thomasine & Bushrod,Gordon Parks Jr.,1974,Western,0 days 01:35:00,The Brattle,2024-05-25,7:00 PM,,,unresolved,,Unknown
Kind Hearts and Coronets,Robert Hamer,1949,Comedy,0 days 01:44:00,The Brattle,2024-05-25,2:30 PM,,,unresolved,,Unknown
Poetry,Lee Chang-dong,2010,Drama,0 days 02:19:00,Museum of Fine Arts,2024-05-25,2:30 PM,26964199,Poetry (film),exact_film,Korean,No English listed
Young Frankenstein,Mel Brooks,1974,Comedy,0 days 01:46:00,The Brattle,2024-05-25,12:00 PM,442647,Young Frankenstein,exact_film,English,English listed
Jour de Fête,Jacques Tati,1949,Comedy,0 days 01:26:00,The Brattle,2024-05-25,4:45 PM,,,unresolved,,Unknown
On the Town,"Stanley Donen, Gene Kelly",1949,Music,0 days 01:38:00,The Brattle,2024-05-26,"12:00 PM, 4:30 PM",12816415,On the Town (film),exact_film,English,English listed
The Taking of Pelham One Two Three,Joseph Sargent,1974,Crime,0 days 01:44:00,The Brattle,2024-05-26,"2:15 PM, 6:45 PM",955409,The Taking of Pelham One Two Three (1974 film),exact_year,English; Spanish; Japanese,English listed
Audition,Takashi Miike,1999,Horror,0 days 01:55:00,The Brattle,2024-05-26,9:00 PM,587265,Audition (1999 film),exact_year,Japanese,No English listed
In a Lonely Place,Nicholas Ray,1950,Drama,0 days 01:34:00,Somerville Theatre,2024-05-27,9:00 PM,812818,In a Lonely Place,exact_title,English,English listed
Spider-Man: Far From Home,Jon Watts,2019,Action,0 days 02:09:00,Coolidge Corner Theatre,2024-05-27,9:30 PM,,,unresolved,,Unknown
"Sorry, Wrong Number",Anatole Litvak,1948,Thriller,0 days 01:29:00,Somerville Theatre,2024-05-27,7:15 PM,183828,"Sorry, Wrong Number",exact_film,English,English listed
All About My Mother,Pedro Almodóvar,1999,Comedy,0 days 01:41:00,The Brattle,2024-05-27,"2:30 PM, 7:15 PM",61664,All About My Mother,exact_title,Plainlist|; Spanish; Catalan; English,English listed
Female Trouble,John Waters,1974,Comedy,0 days 01:37:00,The Brattle,2024-05-27,"4:45 PM, 9:30 PM",1328186,Female Trouble,exact_title,English,English listed
Kind Hearts and Coronets,Robert Hamer,1949,Comedy,0 days 01:44:00,The Brattle,2024-05-27,12:00 PM,,,unresolved,,Unknown
Heathers,Michael Lehmann,1989,Comedy,0 days 01:43:00,Coolidge Corner Theatre,2024-05-27,7:00 PM,13901,Heathers,exact_title,English,English listed
Late Spring,Yasujirō Ozu,1949,Drama,0 days 01:50:00,The Brattle,2024-05-28,6:00 PM,,,unresolved,,Unknown
Whisper of the Heart,Yoshifumi Kondo,1995,Animation,0 days 01:51:00,Coolidge Corner Theatre,2024-05-28,7:00 PM,25382451,Whisper of the Heart,exact_film,Japanese,No English listed
Beau Travail,Claire Denis,2000,Drama,0 days 01:32:00,The Brattle,2024-05-28,8:30 PM,415881,Beau Travail,exact_title,French; Italian; Russian,No English listed
A Woman Under the Influence,John Cassavetes,1974,Drama,0 days 02:35:00,The Brattle,2024-05-29,"4:00 PM, 7:30 PM",76643,A Woman Under the Influence,exact_title,English,English listed
The Wind Rises,Hayao Miyazaki,2013,Drama,0 days 02:06:00,Coolidge Corner Theatre,2024-05-29,7:00 PM,,,unresolved,,Unknown
But I'm a Cheerleader,Jamie Babbit,2000,Comedy,0 days 01:25:00,The Brattle,2024-05-30,"5:00 PM, 7:00 PM",770156,But I'm a Cheerleader,exact_title,English,English listed
Train to Busan,Yeon Sang-ho,2016,Horror,0 days 01:58:00,Museum of Fine Arts,2024-05-30,7:00 PM,,,unresolved,,Unknown
Freaky Friday,Mark Waters,2003,Comedy,0 days 01:37:00,Coolidge Corner Theatre,2024-05-30,7:15 PM,2236324,Freaky Friday (2003 film),exact_year,English,English listed
Martial Law,Steve Cohen,1990,Action,0 days 01:29:00,Coolidge Corner Theatre,2024-05-31,11:59 PM,18791040,Martial Law (1991 film),exact_year,English,English listed
Return to Reason: Four Films by Man Ray,Man Ray,2024,Drama,0 days 01:10:00,The Brattle,2024-05-31,"4:30 PM, 9:00 PM",,,unresolved,,Unknown
Snowpiercer,Bong Joon-ho,2013,Action,0 days 02:07:00,Museum of Fine Arts,2024-05-31,7:00 PM,35816879,Snowpiercer,exact_film,Plainlist|; English; Korean,English listed
Black Tight Killers,Yasuharu Hasebe,1966,Drama,0 days 01:27:00,Somerville Theatre,2024-06-01,11:59 PM,26249449,Black Tight Killers,exact_title,Japanese,No English listed
Darkman,Sam Raimi,1990,Action,0 days 01:35:00,Coolidge Corner Theatre,2024-06-01,11:59 PM,1839695,Darkman,exact_title,English,English listed
