film_key,title,year,wiki_id,wiki_title,match_method
Ring||1998,Ring,1998.0,180785,Ring (film),exact_year
The Taking of Pelham One Two Three||1974,The Taking of Pelham One Two Three,1974.0,955409,The Taking of Pelham One Two Three (1974 film),exact_year
Audition||1999,Audition,1999.0,587265,Audition (1999 film),exact_year
Freaky Friday||2003,Freaky Friday,2003.0,2236324,Freaky Friday (2003 film),exact_year
Martial Law||1990,Martial Law,1990.0,18791040,Martial Law (1991 film),exact_year
12 Angry Men||1957,12 Angry Men,1957.0,92605,12 Angry Men,exact_year
Get Out||2017,Get Out,2017.0,48526729,Get Out,exact_year
Poison||1991,Poison,1991.0,7444907,Poison (1991 film),exact_year
Candyman||1992,Candyman,1992.0,1256990,Candyman (1992 film),exact_year
Teenage Mutant Ninja Turtles||1990,Teenage Mutant Ninja Turtles,1990.0,2323962,Teenage Mutant Ninja Turtles (1990 film),exact_year
Dick Tracy||1990,Dick Tracy,1990.0,725984,Dick Tracy (1990 film),exact_year
Rear Window||1954,Rear Window,1954.0,74577,Rear Window,exact_year
Us||2019,Us,2019.0,57371131,Us (2019 film),exact_year
Funny Games||1997,Funny Games,1997.0,3870912,Funny Games (1997 film),exact_year
The Apple||1980,The Apple,1980.0,5461234,The Apple (1980 film),exact_year
Street of Chance||1942,Street of Chance,1942.0,3577967,Street of Chance (1942 film),exact_year
Parasite||2019,Parasite,2019.0,56746570,Parasite (2019 film),exact_year
V for Vendetta||2006,V for Vendetta,2006.0,1891886,V for Vendetta (film),exact_year
Black Tuesday||1954,Black Tuesday,1954.0,2321684,Black Tuesday (film),exact_year
Watchmen||2009,Watchmen,2009.0,5016250,Watchmen (2009 film),exact_year
Smog||1962,Smog,1962.0,81148333,Smog (film),exact_year
City of Fear||1959,City of Fear,1959.0,35107447,City of Fear (1959 film),exact_year
Signs||2002,Signs,2002.0,72453,Signs (film),exact_year
Ravenous||1999,Ravenous,1999.0,874208,Ravenous (1999 film),exact_year
Grand Prix||1966,Grand Prix,1966.0,970846,Grand Prix (1966 film),exact_year
Ben-Hur||1959,Ben-Hur,1959.0,1343342,Ben-Hur (1959 film),exact_year
Love Lies Bleeding||2024,Love Lies Bleeding,2024.0,70547951,Love Lies Bleeding (2024 film),exact_year
Immaculate||2024,Immaculate,2024.0,73069391,Immaculate (2024 film),exact_year
Invasion of the Body Snatchers||1956,Invasion of the Body Snatchers,1956.0,74394,Invasion of the Body Snatchers,exact_year
Nowhere||1997,Nowhere,1997.0,1223386,Nowhere (1997 film),exact_year
Charlie's Angels||2000,Charlie's Angels,2000.0,342692,Charlie's Angels (2000 film),exact_year
300||2007,300,2007.0,2465797,300 (film),exact_year
Sin City||2005,Sin City,2005.0,1336308,Sin City (film),exact_year
Mask||1985,Mask,1985.0,442333,Mask (1985 film),exact_year
Speed||1994,Speed,1994.0,99123,Speed (1994 film),exact_year
X||2022,X,2022.0,66437544,X (2022 film),exact_year
Godzilla||1954,Godzilla,1954.0,12004,Godzilla (1954 film),exact_year
Pearl||2022,Pearl,2022.0,70324820,Pearl (2022 film),exact_year
Jaws||1975,Jaws,1975.0,74830,Jaws (film),exact_year
Fright Night||1985,Fright Night,1985.0,1123132,Fright Night,exact_year
The Rock||1996,The Rock,1996.0,29785,The Rock (film),exact_year
Friday the 13th||1980,Friday the 13th,1980.0,168958,Friday the 13th (1980 film),exact_year
City of God||2002,City of God,2002.0,461322,City of God (2002 film),exact_year
Dirty Dancing||1987,Dirty Dancing,1987.0,680361,Dirty Dancing,exact_year
Total Recall||1990,Total Recall,1990.0,55325,Total Recall (1990 film),exact_year
Menus-Plaisirs - Les Troisgros||2023,Menus-Plaisirs - Les Troisgros,2023.0,76603481,Menus-Plaisirs – Les Troisgros,exact_year
Tommy||1975,Tommy,1975.0,1221714,Tommy (1975 film),exact_year
Let the Good Times Roll||1973,Let the Good Times Roll,1973.0,33265976,Let the Good Times Roll (film),exact_year
Election||1999,Election,1999.0,689969,Election (1999 film),exact_year
Scooby-Doo||2002,Scooby-Doo,2002.0,1072075,Scooby-Doo (film),exact_year
Somewhere||2010,Somewhere,2010.0,23734853,Somewhere (film),exact_year
Saboteur||1942,Saboteur,1942.0,1576720,Saboteur (film),exact_year
Rebecca||1940,Rebecca,1940.0,1259785,Rebecca (1940 film),exact_year
Dragonslayer||1981,Dragonslayer,1981.0,887388,Dragonslayer (1981 film),exact_year
Vertigo||1958,Vertigo,1958.0,76617,Vertigo (film),exact_year
The Church||1989,The Church,1989.0,11680456,The Church (1989 film),exact_year
La Bamba||1987,La Bamba,1987.0,307080,La Bamba (film),exact_year
No Way Out||1987,No Way Out,1987.0,886560,No Way Out (1987 film),exact_year
I'm Your Man||2021,I'm Your Man,2021.0,66717120,I'm Your Man (2021 film),exact_year
Marie Antoinette||2006,Marie Antoinette,2006.0,2701261,Marie Antoinette (2006 film),exact_year
Go||1999,Go,1999.0,585172,Go (1999 film),exact_year
Falling Down||1993,Falling Down,1993.0,19625929,Falling Down,exact_year
Bird||1988,Bird,1988.0,2378500,Bird (1988 film),exact_year
Pretty Woman||1990,Pretty Woman,1990.0,156745,Pretty Woman,exact_year
Wings||1927,Wings,1927.0,61046,Wings (1927 film),exact_year
Annie||1982,Annie,1982.0,12823099,Annie (1982 film),exact_year
Poison Ivy||1992,Poison Ivy,1992.0,555857,Poison Ivy (1992 film),exact_year
The Crush||1993,The Crush,1993.0,805037,The Crush (1993 film),exact_year
